country,Weight Average,Latitude (generated),Longitude (generated)
Uruguay,23.834886818,-32.948,-56.249
United States,,40.0792,-98.8164
Peru,52.595628415,-12.664,-72.98
Paraguay,41.799709724,-23.266,-58.409
Panama,29.833546735,8.348,-81.005
Nicaragua,34.745762712,12.692,-85.03
Mexico,44.049247606,22.925,-101.68
Jamaica,65.035971223,18.163,-77.477
Honduras,40.431266846,14.881,-87.123
Guatemala,48.625180897,15.124,-90.711
El Salvador,31.014492754,13.848,-89.229
Ecuador,50.408719346,-1.151,-78.308
Dominican Republic,35.021097046,19.01,-70.1685
Costa Rica,37.005649718,10.126,-84.075
Colombia,25.782227785,3.794,-73.606
Chile,37.5,-23.176,-69.201
Canada,,59.2067,-111.1937
Brazil,36.869984859,-11.694,-48.978
Bolivia,42.111959288,-16.71,-65.183
Argentina,30.175913396,-33.166,-64.31
