"","block","list_treatment","estimator","estimate","conf.low","conf.high","ci84.low","ci84.high"
"1",NA,"Threaten neighbors","Direct",0.155772994129159,0.141702180458332,0.169843807799985,0.145687663087021,0.165858325171296
"2",NA,"Evict neighbors","Direct",0.0622309197651663,0.052857575406306,0.0716042641240267,0.0555125250054477,0.068949314524885
"3",NA,"Make donations","Direct",0.209784735812133,0.193986697679494,0.225582773944772,0.198461407388396,0.22110806423587
"4",NA,"Offer work","Direct",0.125636007827789,0.112775837992604,0.138496177662974,0.11641841223736,0.134853603418217
"5",NA,"Threaten neighbors","Network (generous)",0.365546218487395,0.322127156863118,0.408965280111672,0.334450315654382,0.396642121320408
"6",NA,"Evict neighbors","Network (generous)",0.260869565217391,0.220592235091696,0.301146895343087,0.232024702472323,0.28971442796246
"7",NA,"Make donations","Network (generous)",0.270788912579957,0.230425132359216,0.311152692800699,0.241881570493934,0.299696254665981
"8",NA,"Offer work","Network (generous)",0.27741935483871,0.23657472672258,0.31826398295484,0.248167896253999,0.306670813423421
"9",NA,"Threaten neighbors","Network (conservative)",0.149159663865546,0.117040885130935,0.181278442600158,0.126156807855225,0.172162519875868
"10",NA,"Evict neighbors","Network (conservative)",0.206521739130435,0.169390552548715,0.243652925712154,0.179930006829193,0.233113471431676
"11",NA,"Make donations","Network (conservative)",0.270788912579957,0.230425132359216,0.311152692800699,0.241881570493934,0.299696254665981
"12",NA,"Offer work","Network (conservative)",0.270967741935484,0.230421036309285,0.311514447561683,0.241929644759056,0.300005839111911
"13","Non-peripheral","Threaten neighbors","Direct",0.122430741733691,0.103196124414721,0.141665359052661,0.108647466716245,0.136214016751137
"14","Non-peripheral","Evict neighbors","Direct",0.0428954423592493,0.0310054143718979,0.0547854703466008,0.034375203926787,0.0514156807917117
"15","Non-peripheral","Make donations","Direct",0.190348525469169,0.167311764114249,0.213385286824088,0.173840683800129,0.206856367138209
"16","Non-peripheral","Offer work","Direct",0.097408400357462,0.0800087124464546,0.114808088268469,0.0849400117371894,0.109876788977735
"17","Peripheral","Threaten neighbors","Direct",0.181754874651811,0.161785091604065,0.201724657699556,0.16744346762468,0.196066281678941
"18","Peripheral","Evict neighbors","Direct",0.0772980501392758,0.0634686421792319,0.0911274580993197,0.0673871619845458,0.0872089382940057
"19","Peripheral","Make donations","Direct",0.224930362116992,0.203309002358973,0.246551721875011,0.209435347512315,0.240425376721668
"20","Peripheral","Offer work","Direct",0.147632311977716,0.129263003849524,0.166001620105908,0.134467890271141,0.160796733684291
"21","Non-peripheral","Threaten neighbors","Network (generous)",0.34010152284264,0.273366651663671,0.406836394021608,0.292374530511557,0.387828515173723
"22","Non-peripheral","Evict neighbors","Network (generous)",0.229268292682927,0.171239872194542,0.287296713171312,0.187764009369127,0.270772575996726
"23","Non-peripheral","Make donations","Network (generous)",0.261904761904762,0.201949820389932,0.321859703419592,0.219020184375483,0.304789339434041
"24","Non-peripheral","Offer work","Network (generous)",0.238805970149254,0.179357684631259,0.298254255667248,0.196288104998111,0.281323835300397
"25","Peripheral","Threaten neighbors","Network (generous)",0.389090909090909,0.331106773165799,0.44707504501602,0.34759386073357,0.430587957448248
"26","Peripheral","Evict neighbors","Network (generous)",0.284584980237154,0.228606176978448,0.34056378349586,0.244529071563315,0.324640888910994
"27","Peripheral","Make donations","Network (generous)",0.282352941176471,0.226729594004831,0.33797628834811,0.242550796167051,0.32215508618589
"28","Peripheral","Offer work","Network (generous)",0.309160305343511,0.252831977316327,0.365488633370696,0.268851699682583,0.34946891100444
"29","Non-peripheral","Threaten neighbors","Network (conservative)",0.137055837563452,0.0886107113468921,0.185500963780011,0.102409180926992,0.171702494199911
"30","Non-peripheral","Evict neighbors","Network (conservative)",0.229268292682927,0.171239872194542,0.287296713171312,0.187764009369127,0.270772575996726
"31","Non-peripheral","Make donations","Network (conservative)",0.261904761904762,0.201949820389932,0.321859703419592,0.219020184375483,0.304789339434041
"32","Non-peripheral","Offer work","Network (conservative)",0.238805970149254,0.179357684631259,0.298254255667248,0.196288104998111,0.281323835300397
"33","Peripheral","Threaten neighbors","Network (conservative)",0.16,0.11639914676,0.20360085324,0.128796521902847,0.191203478097153
"34","Peripheral","Evict neighbors","Network (conservative)",0.114624505928854,0.0751023086054195,0.154146703252288,0.0863442027708769,0.142904809086831
"35","Peripheral","Make donations","Network (conservative)",0.27843137254902,0.223044937576849,0.33381780752119,0.23879875372235,0.318063991375689
"36","Peripheral","Offer work","Network (conservative)",0.16030534351145,0.115587479680232,0.205023207342669,0.1283051971854,0.192305489837501
