country,Weight Average,Latitude (generated),Longitude (generated)
Uruguay,29.303797468,-32.948,-56.249
United States,16.362188954,40.0792,-98.8164
Peru,35.789473684,-12.664,-72.98
Paraguay,22.001325381,-23.266,-58.409
Panama,21.501925546,8.348,-81.005
Nicaragua,17.723156533,12.692,-85.03
Mexico,32.932235592,22.925,-101.68
Jamaica,11.678832117,18.163,-77.477
Honduras,19.435535600,14.881,-87.123
Guatemala,20.364550597,15.124,-90.711
El Salvador,20.637027206,13.848,-89.229
Ecuador,28.804702809,-1.151,-78.308
Dominican Republic,25.527704485,19.01,-70.1685
Costa Rica,22.2,10.126,-84.075
Colombia,23.766546330,3.794,-73.606
Chile,23.960880196,-23.176,-69.201
Canada,13.732456841,59.2067,-111.1937
Brazil,18.545900356,-11.694,-48.978
Bolivia,28.231089934,-16.71,-65.183
Argentina,31.106745252,-33.166,-64.31
