country,Weight Average,Latitude (generated),Longitude (generated)
Uruguay,22.401950048,-32.948,-56.249
United States,11.354000350,40.0792,-98.8164
Peru,22.388166262,-12.664,-72.98
Paraguay,23.430495072,-23.266,-58.409
Panama,13.000485000,8.348,-81.005
Nicaragua,32.958223919,12.692,-85.03
Mexico,32.006343664,22.925,-101.68
Jamaica,7.338502165,18.163,-77.477
Honduras,24.992338495,14.881,-87.123
Haiti,21.657637579,19.3175,-72.4205
Guyana,11.005677915,5.17,-58.939
Guatemala,19.514732017,15.124,-90.711
El Salvador,15.264428324,13.848,-89.229
Ecuador,24.832621143,-1.151,-78.308
Dominican Republic,18.892923579,19.01,-70.1685
Costa Rica,17.737594293,10.126,-84.075
Colombia,25.022863581,3.794,-73.606
Chile,22.968605381,-23.176,-69.201
Canada,18.369324386,59.2067,-111.1937
Brazil,16.094364489,-11.694,-48.978
Bolivia,23.779579797,-16.71,-65.183
Argentina,26.306626765,-33.166,-64.31
